subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
-121.0,112.0,8.0,-9.0,-5.0,-27.0,-12.0,-11.0,1987.63
-108.0,64.0,9.0,-18.0,-4.0,-11.0,-8.0,-21.0,1987.64
80.0,0.0,5.0,13.0,17.0,9.0,13.0,9.0,1987.65
-69.0,-79.0,27.0,-10.0,14.0,-9.0,18.0,-5.0,1987.65
123.0,-77.0,55.0,5.0,14.0,16.0,10.0,18.0,1987.66
53.0,83.0,51.0,1.0,18.0,4.0,22.0,3.0,1987.66
-93.0,49.0,26.0,11.0,-12.0,14.0,-14.0,16.0,1987.67
107.0,-79.0,22.0,-17.0,-2.0,-16.0,-5.0,-21.0,1987.67
-87.0,-111.0,26.0,-3.0,-17.0,-2.0,-18.0,-8.0,1987.68
-67.0,-47.0,27.0,-14.0,6.0,-20.0,10.0,-15.0,1987.68
73.0,-109.0,52.0,10.0,-8.0,13.0,-8.0,14.0,1987.69
-51.0,-47.0,28.0,-3.0,-16.0,-1.0,-21.0,-7.0,1987.69
-99.0,-47.0,25.0,-17.0,1.0,-14.0,-3.0,-23.0,1987.7
-126.0,33.0,24.0,9.0,-13.0,7.0,-10.0,12.0,1987.71
-87.0,-111.0,26.0,-9.0,4.0,-12.0,6.0,-16.0,1987.71
-109.0,49.0,25.0,0.0,-22.0,4.0,-19.0,-1.0,1987.72
-51.0,-48.0,12.0,6.0,0.0,-5.0,5.0,4.0,1987.72
98.0,32.0,6.0,-3.0,-10.0,6.0,1.0,-1.0,1987.73
98.0,32.0,6.0,-8.0,0.0,-2.0,4.0,-3.0,1987.73
77.0,-47.0,20.0,-3.0,-13.0,-1.0,-21.0,-1.0,1987.74
77.0,-47.0,20.0,-17.0,-10.0,-17.0,-11.0,-21.0,1987.74
-51.0,-48.0,12.0,-17.0,5.0,-19.0,8.0,-20.0,1987.75
94.0,-32.0,5.0,-6.0,9.0,-14.0,13.0,-15.0,1987.76
94.0,-32.0,5.0,8.0,18.0,4.0,18.0,8.0,1987.76
-108.0,64.0,9.0,24.0,-6.0,15.0,-8.0,15.0,1987.77
-108.0,64.0,9.0,-20.0,-5.0,-19.0,-2.0,-21.0,1987.77
-126.0,32.0,8.0,14.0,13.0,15.0,19.0,13.0,1987.78
-126.0,32.0,8.0,-18.0,4.0,-20.0,-1.0,-19.0,1987.78
94.0,-32.0,5.0,-15.0,-10.0,-10.0,-9.0,-16.0,1987.79
124.0,-64.0,7.0,-10.0,1.0,-13.0,4.0,-14.0,1987.84
124.0,-64.0,7.0,-5.0,-39.0,-15.0,-48.0,-28.0,1987.85
124.0,-64.0,7.0,23.0,-33.0,25.0,-27.0,23.0,1987.85
-2.0,-32.0,15.0,6.0,12.0,5.0,13.0,12.0,1987.86
-51.0,-48.0,12.0,0.0,-15.0,-8.0,-7.0,0.0,1987.91
94.0,-32.0,5.0,14.0,3.0,15.0,4.0,14.0,1987.94
-126.0,32.0,8.0,4.0,-10.0,8.0,-12.0,11.0,1987.95
86.0,96.0,5.0,15.0,12.0,9.0,11.0,16.0,1987.95
115.0,48.0,7.0,-4.0,15.0,-3.0,21.0,-5.0,1987.96
-51.0,-48.0,12.0,6.0,-15.0,8.0,-13.0,12.0,1987.97
