Subcarrier,Lag,Cross-Correlation
6,-32,-0.4896175625698977
6,-31,-0.31994478410202265
6,-30,-1.1466890676392958
6,-29,-1.0344194669091822
6,-28,0.9898922411516646
6,-27,2.369595434094854
6,-26,2.8052592232553133
6,-25,1.0598431775768504
6,-24,0.2330988940395774
6,-23,-0.8955035069018061
6,-22,-1.7222477904390792
6,-21,0.08908501771526312
6,-20,0.182187972285531
6,-19,-1.1500321328481269
6,-18,-0.35821586039523823
6,-17,-0.9464525847152216
6,-16,-0.9686910452325342
6,-15,-1.029507752383664
6,-14,-1.4601643010399383
6,-13,-0.28090850611028695
6,-12,-0.4190803938019335
6,-11,-0.5572522814935801
6,-10,0.8224509114496095
6,-9,-0.8189027962534601
6,-8,-2.151122901387118
6,-7,-1.658859479291189
6,-6,-0.47960368436153766
6,-5,-1.8118237894951956
6,-4,-1.0945351001081156
6,-3,-1.7421558839575662
6,-2,-1.8803277716492126
6,-1,-0.9401638858246191
6,0,-2.5757174171303632e-14
6,1,0.48961756256987155
6,2,0.31994478410199645
6,3,1.1466890676392694
6,4,1.0344194669091558
6,5,-0.9898922411516908
6,6,-2.3695954340948804
6,7,-2.805259223255338
6,8,-1.0598431775768775
6,9,-0.2330988940396037
6,10,0.8955035069017799
6,11,1.7222477904390532
6,12,-0.08908501771528887
6,13,-0.18218797228555728
6,14,1.150032132848101
6,15,0.35821586039521236
6,16,0.9464525847151957
6,17,0.9686910452325082
6,18,1.0295077523836378
6,19,1.4601643010399123
6,20,0.28090850611026075
6,21,0.4190803938019074
6,22,0.5572522814935541
6,23,-0.8224509114496361
6,24,0.8189027962534339
6,25,2.151122901387092
6,26,1.658859479291163
6,27,0.4796036843615117
6,28,1.8118237894951696
6,29,1.0945351001080896
6,30,1.74215588395754
6,31,1.8803277716491866
6,32,0.9401638858245933
7,-32,-0.5449897548800156
7,-31,-0.2663316111353549
7,-30,-1.0087139457064134
7,-29,-0.8017692850436733
7,-28,0.7381555241385482
7,-27,2.5284981961075323
7,-26,3.139457487575892
7,-25,1.02560540099494
7,-24,0.05944503582215588
7,-23,-1.2838250617506848
7,-22,-2.4253154230126883
7,-21,0.05974987449063107
7,-20,0.0745668328562107
7,-19,-0.7919102798982016
7,-18,-0.2991878594433652
7,-17,-0.9673820058995223
7,-16,-1.8338591186539346
7,-15,-1.8431502571425762
7,-14,-1.8524413956312178
