subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_109,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
-48.0,-16.0,11.0,-18.0,13.0,-15.0,3.0,-15.0,-11.0,11.0,-10.0,14.0,-17.0,9.0,-13.0,9.0,-12.0,6.0,-11.0,13.0,10.0,-13.0,10.0,-13.0,6.0,10.0,-16.0,11.0,-11.0,-6.0,-2.0,9.0,8.0,4.0,-16.0,-34.0,-16.0,-35.0,-15.0,-35.0,-20.0,-36.0,-24.0,-36.0,-24.0,-37.0,-35.0,-29.0,-31.0,-24.0,-26.0,-24.0,-29.0,-23.0,-26.0,-20.0,-23.0,-15.0,-19.0,-14.0,-17.0,-8.0,-16.0,-12.0,-13.0,-1.0,7.0,-19.0,8.0,7.0,-15.0,7.0,-13.0,5.0,-19.0,-15.0,2504.1
-31.0,-16.0,5.0,-13.0,9.0,-13.0,5.0,-11.0,-11.0,6.0,-12.0,12.0,-6.0,12.0,-8.0,8.0,-13.0,11.0,-11.0,13.0,14.0,-8.0,11.0,-7.0,9.0,12.0,-4.0,6.0,-7.0,1.0,2.0,10.0,6.0,6.0,-10.0,-34.0,-9.0,-35.0,-14.0,-35.0,-15.0,-37.0,-16.0,-34.0,-15.0,-33.0,-36.0,-25.0,-28.0,-18.0,-29.0,-21.0,-27.0,-17.0,-24.0,-14.0,-27.0,-12.0,-20.0,-9.0,-15.0,-5.0,-14.0,-13.0,-13.0,0.0,1.0,-14.0,11.0,10.0,-14.0,10.0,-14.0,9.0,-16.0,-10.0,2504.11
33.0,3.0,-9.0,7.0,-18.0,2.0,-6.0,-1.0,6.0,-14.0,7.0,-18.0,-1.0,-11.0,-2.0,-7.0,-6.0,-11.0,7.0,-8.0,-15.0,5.0,-15.0,0.0,-17.0,-7.0,12.0,-17.0,4.0,8.0,2.0,-13.0,-10.0,-1.0,-32.0,-8.0,-36.0,-10.0,-29.0,-10.0,-31.0,-4.0,-35.0,0.0,-33.0,4.0,11.0,-41.0,17.0,-32.0,0.0,-28.0,16.0,-28.0,8.0,-28.0,11.0,-16.0,7.0,-17.0,18.0,-22.0,15.0,-2.0,0.0,-21.0,-17.0,3.0,-19.0,-8.0,1.0,-17.0,-13.0,-9.0,6.0,-1.0,2504.11
-30.0,6.0,-4.0,8.0,-7.0,1.0,-1.0,6.0,-10.0,-1.0,-13.0,1.0,-12.0,-7.0,-15.0,-6.0,-21.0,-8.0,-22.0,-12.0,-7.0,-24.0,-4.0,-24.0,0.0,5.0,-23.0,5.0,-14.0,-12.0,-12.0,17.0,18.0,-5.0,-9.0,-13.0,-10.0,-5.0,-12.0,-3.0,-9.0,2.0,-12.0,-2.0,-20.0,0.0,0.0,-17.0,11.0,-18.0,13.0,-15.0,20.0,-17.0,17.0,-25.0,11.0,-14.0,23.0,-11.0,26.0,-25.0,25.0,28.0,26.0,-16.0,-12.0,21.0,-7.0,-2.0,20.0,-10.0,24.0,-5.0,17.0,6.0,2504.13
0.0,-8.0,3.0,-4.0,3.0,-15.0,3.0,-8.0,-7.0,6.0,-4.0,8.0,-16.0,6.0,-13.0,10.0,-17.0,18.0,-17.0,15.0,16.0,-15.0,16.0,-12.0,19.0,10.0,-5.0,18.0,1.0,7.0,3.0,9.0,9.0,11.0,-1.0,-10.0,3.0,-10.0,-1.0,-13.0,-6.0,-12.0,-7.0,-13.0,-5.0,-9.0,-7.0,-13.0,-11.0,-13.0,-16.0,-19.0,-13.0,-19.0,-7.0,-22.0,-14.0,-22.0,-10.0,-21.0,-9.0,-28.0,-5.0,-1.0,-2.0,-27.0,-32.0,-2.0,-23.0,-16.0,-4.0,-22.0,-5.0,-18.0,1.0,2.0,2504.16
0.0,30.0,-52.0,32.0,-23.0,16.0,-11.0,19.0,13.0,-17.0,31.0,-31.0,16.0,-17.0,29.0,-35.0,16.0,-36.0,28.0,-7.0,-24.0,20.0,-10.0,24.0,-7.0,-18.0,20.0,-19.0,8.0,7.0,-6.0,-11.0,-11.0,-12.0,21.0,55.0,29.0,57.0,36.0,63.0,33.0,66.0,39.0,64.0,45.0,59.0,60.0,46.0,50.0,50.0,48.0,46.0,52.0,41.0,44.0,28.0,38.0,28.0,37.0,13.0,28.0,18.0,31.0,22.0,26.0,-8.0,-22.0,17.0,-14.0,-13.0,18.0,-27.0,-2.0,-7.0,21.0,31.0,2504.16
-32.0,-3.0,-5.0,-2.0,-13.0,-10.0,-5.0,-4.0,-10.0,1.0,-11.0,-3.0,-21.0,1.0,-19.0,2.0,-27.0,-4.0,-28.0,3.0,2.0,-25.0,6.0,-21.0,8.0,20.0,-16.0,20.0,-18.0,-10.0,0.0,23.0,11.0,7.0,-11.0,-7.0,-14.0,-7.0,-8.0,-17.0,-11.0,-8.0,-15.0,-1.0,-17.0,-1.0,-4.0,-22.0,1.0,-19.0,10.0,-13.0,-10.0,-34.0,10.0,-28.0,9.0,-25.0,12.0,-35.0,6.0,-29.0,19.0,32.0,15.0,-22.0,-26.0,21.0,-26.0,-32.0,18.0,-23.0,25.0,-18.0,15.0,3.0,2504.18
32.0,-6.0,10.0,-10.0,11.0,-1.0,2.0,16.0,15.0,6.0,7.0,-4.0,13.0,10.0,9.0,11.0,8.0,7.0,15.0,11.0,13.0,10.0,7.0,20.0,3.0,0.0,21.0,2.0,13.0,12.0,13.0,-12.0,-4.0,9.0,1.0,3.0,4.0,1.0,7.0,6.0,9.0,4.0,5.0,3.0,5.0,3.0,0.0,19.0,-4.0,17.0,-9.0,12.0,-17.0,35.0,-9.0,22.0,-9.0,13.0,-19.0,22.0,-16.0,18.0,-18.0,-24.0,-28.0,8.0,5.0,-17.0,11.0,9.0,-15.0,7.0,-19.0,7.0,-25.0,-18.0,2504.18
32.0,8.0,-6.0,4.0,-9.0,2.0,-13.0,13.0,3.0,-14.0,4.0,-11.0,4.0,-28.0,9.0,-19.0,2.0,-18.0,17.0,-16.0,-26.0,0.0,-25.0,13.0,-31.0,-23.0,-1.0,-29.0,-5.0,-10.0,-8.0,-14.0,-11.0,-21.0,-12.0,6.0,-13.0,2.0,-5.0,4.0,2.0,6.0,3.0,12.0,4.0,15.0,12.0,1.0,23.0,3.0,18.0,10.0,23.0,17.0,26.0,11.0,17.0,12.0,31.0,20.0,29.0,23.0,29.0,23.0,34.0,15.0,23.0,4.0,17.0,19.0,25.0,21.0,13.0,18.0,4.0,17.0,2504.19
-64.0,-10.0,-1.0,4.0,2.0,-3.0,-2.0,-4.0,9.0,-9.0,1.0,-4.0,13.0,-4.0,16.0,-2.0,18.0,-17.0,16.0,-15.0,-19.0,18.0,-13.0,16.0,-8.0,-28.0,11.0,-23.0,12.0,-1.0,-6.0,-20.0,-19.0,-6.0,1.0,0.0,8.0,7.0,11.0,5.0,7.0,8.0,8.0,4.0,14.0,6.0,-4.0,23.0,-5.0,22.0,0.0,19.0,-2.0,19.0,-7.0,22.0,2.0,23.0,-9.0,25.0,-8.0,26.0,-12.0,-23.0,-13.0,15.0,38.0,-29.0,20.0,17.0,-14.0,24.0,-14.0,14.0,-12.0,0.0,2504.2
