subcarrier_0,subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_98,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_110,subcarrier_113,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_125,subcarrier_127,timestamp
94.0,6.0,-39.0,10.0,-16.0,16.0,-18.0,15.0,-41.0,23.0,-24.0,14.0,-31.0,18.0,-29.0,7.0,-35.0,-44.0,6.0,-28.0,-68.0,9.0,-44.0,19.0,-51.0,11.0,-40.0,6.0,-49.0,-11.0,-37.0,-3.0,6.0,-40.0,-6.0,-25.0,1.0,-27.0,1.0,-2.0,35.0,3.0,-1.0,20.0,13.0,13.0,40.0,29.0,32.0,22.0,41.0,23.0,34.0,36.0,42.0,39.0,46.0,50.0,52.0,51.0,39.0,40.0,56.0,57.0,20.0,23.0,7.0,25.0,38.0,11.0,-28.0,-8.0,3343.61
94.0,-58.0,-36.0,-20.0,-9.0,-47.0,-32.0,-17.0,-31.0,-33.0,-36.0,-31.0,-26.0,-35.0,-28.0,-23.0,-45.0,-45.0,-32.0,-45.0,-24.0,-24.0,-16.0,-41.0,-33.0,-35.0,-23.0,-46.0,-17.0,-36.0,-7.0,-43.0,-38.0,-17.0,-31.0,-23.0,-30.0,-12.0,-24.0,-25.0,13.0,28.0,31.0,-8.0,39.0,33.0,-13.0,34.0,-26.0,29.0,32.0,-37.0,45.0,-34.0,42.0,-40.0,-50.0,58.0,-30.0,55.0,-42.0,56.0,-38.0,-17.0,54.0,55.0,40.0,-6.0,-3.0,40.0,-8.0,26.0,3343.61
94.0,-19.0,-11.0,-10.0,-2.0,-42.0,12.0,-37.0,34.0,-39.0,19.0,-49.0,3.0,-35.0,20.0,-34.0,30.0,29.0,-32.0,36.0,18.0,-30.0,46.0,-26.0,40.0,-34.0,25.0,-32.0,27.0,-33.0,30.0,-19.0,-18.0,31.0,-19.0,28.0,-14.0,17.0,-17.0,-18.0,-7.0,30.0,30.0,-28.0,16.0,16.0,-34.0,18.0,-41.0,11.0,13.0,-57.0,5.0,-56.0,5.0,-49.0,-63.0,0.0,-67.0,7.0,-73.0,5.0,-58.0,-65.0,12.0,11.0,23.0,-24.0,-33.0,5.0,20.0,19.0,3343.62
86.0,13.0,32.0,12.0,32.0,24.0,28.0,25.0,59.0,7.0,41.0,13.0,26.0,41.0,37.0,7.0,48.0,62.0,22.0,41.0,19.0,10.0,40.0,37.0,33.0,25.0,28.0,30.0,18.0,29.0,27.0,29.0,27.0,16.0,28.0,19.0,15.0,20.0,14.0,18.0,-33.0,-30.0,-29.0,-7.0,-31.0,-35.0,4.0,-35.0,16.0,-37.0,-52.0,23.0,-58.0,20.0,-48.0,22.0,27.0,-67.0,19.0,-64.0,21.0,-57.0,13.0,-12.0,-59.0,-32.0,-55.0,-3.0,-43.0,-27.0,-13.0,-3.0,3343.63
98.0,-14.0,-15.0,10.0,-4.0,-6.0,-14.0,8.0,-11.0,-4.0,-3.0,1.0,-21.0,5.0,-25.0,1.0,-38.0,-13.0,5.0,-24.0,-18.0,-1.0,-22.0,1.0,-26.0,-6.0,-24.0,-3.0,-20.0,-2.0,-28.0,-9.0,-15.0,-17.0,-19.0,-16.0,-22.0,-11.0,-9.0,-19.0,1.0,-22.0,-11.0,-6.0,-20.0,-17.0,-13.0,-16.0,-16.0,-16.0,-13.0,-14.0,-4.0,-17.0,-7.0,-17.0,-14.0,-1.0,-25.0,4.0,-18.0,6.0,-27.0,-19.0,29.0,19.0,5.0,-18.0,0.0,-1.0,18.0,11.0,3343.63
102.0,-9.0,-15.0,9.0,-22.0,10.0,-25.0,20.0,-23.0,5.0,-14.0,24.0,-22.0,0.0,-27.0,1.0,-25.0,-17.0,4.0,-15.0,-14.0,12.0,-28.0,12.0,-25.0,0.0,-20.0,0.0,-23.0,-1.0,-25.0,-6.0,-13.0,-21.0,-7.0,-15.0,-11.0,-16.0,-11.0,-7.0,-4.0,-18.0,-5.0,-13.0,-12.0,-8.0,-10.0,-6.0,-17.0,-13.0,-12.0,-16.0,-7.0,-17.0,5.0,-21.0,-16.0,15.0,-15.0,9.0,-10.0,19.0,-24.0,-7.0,25.0,16.0,26.0,4.0,-13.0,16.0,13.0,10.0,3343.64
98.0,-12.0,-16.0,5.0,-14.0,-4.0,-16.0,0.0,-15.0,-9.0,-20.0,0.0,-24.0,1.0,-18.0,-12.0,-21.0,-14.0,-1.0,-12.0,-28.0,-4.0,-19.0,-9.0,-27.0,-15.0,-15.0,-10.0,-12.0,-9.0,-9.0,-27.0,-18.0,1.0,-19.0,-1.0,-22.0,2.0,-18.0,-28.0,-10.0,-17.0,-14.0,-9.0,-10.0,-11.0,-18.0,-2.0,-23.0,-7.0,4.0,-18.0,-3.0,-19.0,-2.0,-24.0,-16.0,7.0,-18.0,15.0,-15.0,3.0,-26.0,-25.0,8.0,12.0,11.0,-13.0,-13.0,15.0,12.0,0.0,3343.64
-68.0,4.0,3.0,-10.0,13.0,-10.0,5.0,-10.0,19.0,-5.0,8.0,-8.0,20.0,-9.0,20.0,-2.0,12.0,15.0,1.0,27.0,15.0,-8.0,18.0,2.0,19.0,7.0,26.0,2.0,16.0,16.0,8.0,16.0,16.0,6.0,20.0,9.0,17.0,8.0,17.0,18.0,15.0,11.0,4.0,4.0,8.0,-4.0,18.0,-2.0,22.0,0.0,-12.0,21.0,-4.0,10.0,-16.0,14.0,8.0,-20.0,8.0,-27.0,4.0,-25.0,18.0,9.0,-20.0,-22.0,-17.0,11.0,-3.0,-14.0,-12.0,-13.0,3343.65
-44.0,4.0,8.0,4.0,11.0,7.0,8.0,2.0,23.0,-10.0,16.0,-17.0,16.0,-2.0,17.0,-7.0,15.0,24.0,2.0,11.0,22.0,-6.0,18.0,-1.0,17.0,13.0,19.0,0.0,15.0,2.0,13.0,0.0,-1.0,20.0,6.0,10.0,5.0,8.0,9.0,-6.0,-19.0,-1.0,-10.0,-12.0,-7.0,-7.0,-9.0,-23.0,-15.0,-17.0,-28.0,-2.0,-18.0,-13.0,-24.0,2.0,-1.0,-29.0,-14.0,-32.0,-8.0,-19.0,-7.0,-15.0,-10.0,-22.0,-9.0,-17.0,-15.0,-16.0,-4.0,-11.0,3343.68
-24.0,-48.0,-13.0,-12.0,-17.0,-29.0,-24.0,-45.0,-11.0,-20.0,-45.0,-36.0,-23.0,-51.0,-23.0,-30.0,-47.0,-42.0,-35.0,-41.0,-31.0,-20.0,-23.0,-34.0,-18.0,-44.0,-16.0,-39.0,-17.0,-42.0,-12.0,-32.0,-37.0,-10.0,-30.0,-18.0,-31.0,-11.0,-27.0,-22.0,-11.0,29.0,26.0,-21.0,27.0,23.0,-26.0,20.0,-31.0,19.0,25.0,-44.0,22.0,-41.0,26.0,-46.0,-54.0,25.0,-55.0,30.0,-55.0,43.0,-39.0,-36.0,36.0,47.0,53.0,-21.0,-7.0,52.0,3.0,4.0,3343.68
