subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_39,subcarrier_41,subcarrier_48,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_119,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
72.0,-127.0,20.0,3.0,19.0,2.0,25.0,-3.0,25.0,1.0,1.0,2.0,20.0,-2.0,21.0,-2.0,19.0,1.0,18.0,-2.0,16.0,19.0,-2.0,16.0,-2.0,15.0,-2.0,14.0,-3.0,13.0,8.0,-2.0,-7.0,4.0,3.0,-3.0,-2.0,-9.0,-6.0,-8.0,35.0,-9.0,34.0,-10.0,35.0,-6.0,-11.0,32.0,-14.0,-14.0,33.0,27.0,-16.0,-14.0,27.0,-15.0,24.0,-20.0,-16.0,22.0,-12.0,12.0,-3.0,5.0,3.0,0.0,5.0,-3.0,4.0,8.0,18.0,10.0,12.0,26.0,6.0,26.0,23.0,5.0,1877.87
92.0,-63.0,21.0,7.0,-25.0,12.0,-21.0,9.0,-21.0,7.0,7.0,10.0,-23.0,12.0,-19.0,12.0,-19.0,9.0,-16.0,10.0,-17.0,-17.0,10.0,-16.0,10.0,-14.0,6.0,-9.0,8.0,-9.0,-8.0,8.0,3.0,-5.0,-1.0,-2.0,-2.0,9.0,-3.0,8.0,-36.0,-6.0,-38.0,2.0,-41.0,-3.0,2.0,-38.0,2.0,-1.0,-40.0,-34.0,7.0,5.0,-32.0,3.0,-30.0,3.0,1.0,-23.0,6.0,-14.0,0.0,-2.0,-8.0,-1.0,-2.0,-14.0,-16.0,-8.0,-13.0,-2.0,-20.0,-19.0,10.0,-19.0,-23.0,3.0,1877.88
94.0,-32.0,5.0,10.0,5.0,15.0,14.0,18.0,15.0,17.0,19.0,17.0,8.0,16.0,9.0,11.0,10.0,13.0,15.0,16.0,10.0,10.0,10.0,13.0,12.0,9.0,10.0,8.0,7.0,7.0,7.0,4.0,-2.0,7.0,5.0,-3.0,-6.0,0.0,-8.0,-5.0,19.0,-27.0,16.0,-28.0,15.0,-32.0,-34.0,13.0,-34.0,-33.0,8.0,10.0,-35.0,-34.0,6.0,-28.0,10.0,-24.0,-27.0,5.0,-18.0,6.0,-14.0,-10.0,0.0,0.0,3.0,-1.0,6.0,6.0,4.0,13.0,-2.0,1.0,19.0,7.0,10.0,13.0,1877.88
94.0,-32.0,5.0,3.0,21.0,-2.0,22.0,-3.0,23.0,10.0,-3.0,-1.0,25.0,5.0,24.0,-5.0,20.0,-1.0,21.0,-2.0,15.0,15.0,-4.0,15.0,1.0,16.0,-4.0,16.0,-1.0,15.0,12.0,-1.0,-4.0,5.0,3.0,-7.0,-6.0,-3.0,-7.0,-2.0,34.0,16.0,30.0,13.0,34.0,14.0,15.0,36.0,8.0,6.0,38.0,36.0,7.0,6.0,23.0,0.0,25.0,1.0,2.0,14.0,6.0,17.0,8.0,5.0,17.0,14.0,-1.0,9.0,4.0,-4.0,19.0,6.0,18.0,14.0,2.0,28.0,23.0,-3.0,1877.89
94.0,-32.0,5.0,-19.0,23.0,-18.0,13.0,-17.0,15.0,-20.0,-21.0,-19.0,13.0,-17.0,12.0,-25.0,15.0,-15.0,13.0,-17.0,12.0,13.0,-15.0,9.0,-10.0,11.0,-15.0,5.0,-12.0,3.0,5.0,-8.0,-7.0,0.0,-3.0,2.0,3.0,-7.0,4.0,-8.0,24.0,27.0,25.0,24.0,27.0,22.0,19.0,33.0,23.0,23.0,30.0,35.0,14.0,18.0,23.0,16.0,21.0,11.0,9.0,11.0,16.0,12.0,15.0,10.0,12.0,-3.0,1.0,13.0,9.0,-2.0,12.0,-7.0,12.0,22.0,-17.0,17.0,21.0,-15.0,1877.9
-57.0,112.0,12.0,-30.0,-8.0,-29.0,-13.0,-23.0,-8.0,-24.0,-23.0,-24.0,-10.0,-24.0,-4.0,-23.0,-9.0,-21.0,-12.0,-18.0,-8.0,-3.0,-21.0,-7.0,-18.0,-8.0,-16.0,-5.0,-13.0,-7.0,-6.0,-10.0,-1.0,-3.0,-5.0,8.0,5.0,-8.0,9.0,-4.0,-19.0,32.0,-20.0,27.0,-18.0,31.0,33.0,-18.0,34.0,31.0,-15.0,-6.0,40.0,32.0,-7.0,28.0,-10.0,32.0,25.0,-16.0,16.0,-10.0,21.0,17.0,-12.0,-6.0,-11.0,3.0,-3.0,-12.0,-7.0,-9.0,-15.0,-9.0,-31.0,-5.0,-10.0,-17.0,1877.9
-51.0,-48.0,12.0,-30.0,-4.0,-27.0,-13.0,-18.0,-9.0,-24.0,-22.0,-24.0,-12.0,-20.0,-8.0,-17.0,-4.0,-21.0,-6.0,-21.0,-6.0,-5.0,-19.0,-6.0,-21.0,-5.0,-15.0,1.0,-12.0,-4.0,-3.0,-10.0,-5.0,-8.0,-4.0,7.0,2.0,-2.0,10.0,-5.0,-27.0,23.0,-25.0,21.0,-28.0,24.0,28.0,-23.0,33.0,29.0,-25.0,-20.0,31.0,31.0,-21.0,24.0,-12.0,25.0,16.0,0.0,25.0,-13.0,12.0,1.0,-12.0,-8.0,-6.0,7.0,-4.0,-10.0,1.0,-3.0,-2.0,-6.0,-19.0,-10.0,-8.0,-27.0,1877.91
-108.0,64.0,9.0,-29.0,5.0,-26.0,1.0,-24.0,-1.0,-26.0,-27.0,-27.0,3.0,-28.0,3.0,-23.0,3.0,-25.0,5.0,-25.0,2.0,4.0,-24.0,2.0,-22.0,0.0,-18.0,2.0,-19.0,1.0,1.0,-15.0,-12.0,0.0,-3.0,2.0,0.0,-6.0,4.0,-7.0,-9.0,33.0,-6.0,35.0,-7.0,35.0,37.0,-2.0,37.0,36.0,-1.0,2.0,34.0,32.0,2.0,30.0,3.0,25.0,22.0,2.0,23.0,0.0,16.0,12.0,-5.0,-6.0,-9.0,4.0,1.0,-12.0,7.0,-15.0,4.0,5.0,-23.0,2.0,5.0,-26.0,1877.96
-108.0,64.0,9.0,16.0,-19.0,15.0,-18.0,14.0,-22.0,19.0,18.0,18.0,-20.0,19.0,-18.0,16.0,-20.0,15.0,-19.0,16.0,-17.0,-19.0,13.0,-16.0,17.0,-17.0,11.0,-15.0,12.0,-12.0,-11.0,13.0,6.0,-11.0,-2.0,4.0,-1.0,4.0,0.0,8.0,-24.0,-26.0,-24.0,-24.0,-30.0,-26.0,-21.0,-31.0,-22.0,-19.0,-31.0,-32.0,-16.0,-15.0,-29.0,-12.0,-24.0,-12.0,-12.0,-20.0,-14.0,-14.0,-11.0,-11.0,-8.0,1.0,0.0,-11.0,-11.0,2.0,-13.0,6.0,-16.0,-18.0,12.0,-20.0,-19.0,12.0,1877.97
-108.0,64.0,9.0,17.0,14.0,15.0,18.0,12.0,18.0,7.0,16.0,17.0,20.0,16.0,18.0,13.0,12.0,16.0,15.0,12.0,14.0,13.0,8.0,15.0,11.0,17.0,8.0,19.0,11.0,11.0,10.0,5.0,6.0,8.0,7.0,-4.0,-4.0,3.0,-11.0,4.0,26.0,-13.0,31.0,-12.0,28.0,-15.0,-19.0,27.0,-17.0,-22.0,23.0,25.0,-20.0,-22.0,21.0,-20.0,19.0,-22.0,-15.0,9.0,-8.0,12.0,-11.0,-6.0,9.0,6.0,10.0,3.0,5.0,8.0,9.0,7.0,7.0,12.0,13.0,13.0,19.0,13.0,1877.98
