subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_116,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
94.0,-32.0,5.0,-10.0,-20.0,-12.0,-11.0,-8.0,-17.0,-12.0,-21.0,-15.0,-2.0,-21.0,-15.0,-5.0,-7.0,-18.0,-22.0,-8.0,-10.0,-13.0,12.0,1.0,-7.0,-11.0,-10.0,-9.0,-2.0,-7.0,-17.0,13.0,1.0,-12.0,-19.0,4.0,-18.0,2.0,-14.0,5.0,-18.0,-10.0,-9.0,26.0,-6.0,30.0,0.0,28.0,-5.0,37.0,-2.0,27.0,33.0,-3.0,25.0,12.0,30.0,8.0,36.0,13.0,4.0,23.0,19.0,16.0,2.0,11.0,14.0,-5.0,5.0,19.0,0.0,7.0,-16.0,6.0,4.0,3.0,-5.0,-16.0,-4.0,-14.0,-17.0,-5.0,1661.78
-75.0,80.0,11.0,30.0,4.0,33.0,20.0,20.0,12.0,19.0,0.0,22.0,28.0,27.0,20.0,32.0,25.0,15.0,20.0,22.0,23.0,12.0,12.0,21.0,5.0,11.0,9.0,-1.0,8.0,11.0,-5.0,-6.0,-6.0,-17.0,-9.0,-16.0,-6.0,-20.0,-12.0,-28.0,-13.0,-14.0,-30.0,-24.0,-49.0,-24.0,-54.0,-37.0,-56.0,-30.0,-57.0,-28.0,-27.0,-53.0,-31.0,-65.0,-30.0,-59.0,-25.0,-45.0,-42.0,-23.0,-40.0,-5.0,-14.0,-33.0,-9.0,-31.0,-10.0,-4.0,2.0,-2.0,-5.0,12.0,2.0,-2.0,16.0,10.0,25.0,13.0,12.0,9.0,1661.79
-126.0,33.0,24.0,-15.0,12.0,-16.0,11.0,-35.0,16.0,-32.0,7.0,12.0,-37.0,15.0,-49.0,-41.0,-33.0,18.0,22.0,-26.0,5.0,15.0,-14.0,-17.0,9.0,8.0,-9.0,10.0,-9.0,-1.0,7.0,9.0,11.0,10.0,12.0,7.0,23.0,6.0,28.0,9.0,30.0,35.0,13.0,56.0,-3.0,60.0,-1.0,66.0,-6.0,72.0,-6.0,66.0,63.0,-9.0,67.0,3.0,58.0,5.0,59.0,6.0,-2.0,34.0,9.0,33.0,23.0,3.0,12.0,1.0,18.0,3.0,12.0,8.0,0.0,4.0,-13.0,3.0,-23.0,13.0,-20.0,0.0,-16.0,1.0,1661.79
69.0,81.0,20.0,-27.0,-5.0,-31.0,-19.0,-21.0,-15.0,-23.0,-10.0,-9.0,-32.0,-11.0,-20.0,-27.0,-24.0,-17.0,-10.0,-32.0,-21.0,-14.0,-21.0,-19.0,-3.0,-6.0,-7.0,-6.0,-8.0,-7.0,1.0,12.0,-2.0,10.0,6.0,17.0,19.0,19.0,22.0,14.0,15.0,13.0,25.0,10.0,56.0,10.0,63.0,13.0,69.0,14.0,65.0,18.0,16.0,61.0,18.0,73.0,13.0,58.0,9.0,48.0,50.0,5.0,42.0,3.0,10.0,29.0,1.0,18.0,2.0,7.0,6.0,-9.0,-17.0,-6.0,-12.0,-4.0,-15.0,-10.0,2.0,-18.0,-15.0,-26.0,1661.8
89.0,-111.0,21.0,-9.0,-18.0,-32.0,-21.0,-29.0,-17.0,-21.0,-26.0,-13.0,-15.0,-16.0,-33.0,-31.0,-25.0,-24.0,-15.0,-13.0,-20.0,-19.0,-21.0,-23.0,-11.0,-12.0,-9.0,-5.0,-4.0,-2.0,6.0,6.0,1.0,12.0,10.0,19.0,10.0,13.0,9.0,20.0,8.0,17.0,30.0,30.0,46.0,31.0,51.0,37.0,44.0,42.0,47.0,39.0,39.0,42.0,42.0,58.0,33.0,50.0,21.0,38.0,39.0,18.0,38.0,17.0,16.0,32.0,8.0,20.0,1.0,19.0,3.0,-10.0,-3.0,10.0,-19.0,-6.0,-21.0,3.0,-15.0,-9.0,-27.0,-17.0,1661.8
94.0,-32.0,5.0,-41.0,30.0,-28.0,29.0,-29.0,19.0,-38.0,17.0,3.0,-33.0,10.0,-26.0,-31.0,-17.0,18.0,19.0,-27.0,19.0,21.0,-22.0,-15.0,4.0,6.0,-10.0,13.0,-4.0,-5.0,3.0,0.0,-2.0,6.0,10.0,1.0,23.0,-3.0,25.0,1.0,32.0,30.0,3.0,50.0,-5.0,63.0,1.0,64.0,1.0,62.0,-3.0,59.0,64.0,2.0,61.0,0.0,69.0,-9.0,58.0,-6.0,-2.0,41.0,-5.0,46.0,23.0,-3.0,28.0,7.0,13.0,-5.0,6.0,1.0,-1.0,4.0,-15.0,17.0,-23.0,-6.0,-21.0,15.0,-16.0,7.0,1661.81
80.0,0.0,5.0,-27.0,-4.0,-20.0,1.0,-18.0,-8.0,-26.0,-5.0,9.0,-30.0,0.0,-31.0,-23.0,-23.0,5.0,-5.0,-17.0,-1.0,7.0,-13.0,-15.0,-3.0,1.0,-8.0,6.0,-3.0,4.0,2.0,3.0,10.0,11.0,17.0,2.0,16.0,5.0,17.0,6.0,22.0,18.0,8.0,38.0,21.0,37.0,17.0,40.0,14.0,43.0,18.0,39.0,40.0,20.0,42.0,19.0,39.0,26.0,26.0,25.0,23.0,22.0,12.0,14.0,18.0,11.0,10.0,8.0,12.0,3.0,4.0,3.0,-4.0,4.0,7.0,-7.0,-11.0,-3.0,-21.0,-2.0,-18.0,7.0,1661.82
-128.0,0.0,8.0,-32.0,4.0,-18.0,1.0,-22.0,9.0,-30.0,12.0,14.0,-35.0,5.0,-19.0,-29.0,-31.0,17.0,15.0,-18.0,5.0,15.0,-18.0,-22.0,5.0,4.0,-9.0,12.0,-2.0,-1.0,7.0,8.0,8.0,3.0,14.0,1.0,17.0,-5.0,25.0,3.0,27.0,33.0,0.0,43.0,21.0,51.0,23.0,53.0,25.0,57.0,26.0,60.0,61.0,21.0,54.0,25.0,59.0,17.0,52.0,22.0,11.0,42.0,25.0,28.0,26.0,14.0,17.0,10.0,6.0,3.0,3.0,-1.0,-11.0,1.0,-20.0,5.0,-5.0,8.0,-29.0,15.0,-18.0,12.0,1661.82
94.0,-32.0,5.0,-8.0,-1.0,-10.0,-11.0,-12.0,-7.0,-14.0,-5.0,-10.0,-19.0,-11.0,-21.0,-13.0,-17.0,-1.0,-4.0,-19.0,-6.0,-6.0,-12.0,-14.0,-6.0,-5.0,-4.0,-5.0,-6.0,-3.0,-3.0,2.0,5.0,7.0,6.0,3.0,6.0,7.0,12.0,8.0,10.0,11.0,15.0,16.0,24.0,15.0,26.0,16.0,30.0,22.0,28.0,26.0,20.0,32.0,15.0,28.0,16.0,27.0,21.0,22.0,21.0,9.0,20.0,11.0,3.0,13.0,2.0,11.0,0.0,11.0,0.0,5.0,-2.0,-5.0,-8.0,2.0,-12.0,-10.0,-9.0,-4.0,-15.0,-6.0,1661.83
105.0,-112.0,6.0,-6.0,-9.0,-4.0,-28.0,-17.0,-39.0,-19.0,-25.0,-21.0,-6.0,-29.0,2.0,-7.0,-2.0,-38.0,-35.0,-2.0,-27.0,-30.0,-8.0,-11.0,-25.0,-23.0,-7.0,-8.0,-2.0,-7.0,-6.0,2.0,-6.0,14.0,-8.0,17.0,-6.0,16.0,-14.0,23.0,-15.0,-22.0,27.0,-1.0,54.0,-5.0,55.0,-2.0,66.0,-3.0,64.0,-8.0,-6.0,55.0,-5.0,61.0,0.0,48.0,-2.0,55.0,40.0,-5.0,48.0,-9.0,-12.0,22.0,-9.0,13.0,-13.0,13.0,-5.0,-6.0,-1.0,-9.0,5.0,-18.0,-14.0,-14.0,-11.0,-30.0,-25.0,-26.0,1661.83
