Subcarrier,Lag,Cross-Correlation
8,-7,1.461433759733857
8,-6,0.25472068578541984
8,-5,0.37600537278569446
8,-4,0.7159369103195455
8,-3,0.8105244034256747
8,-2,0.019464455908426714
8,-1,1.3418780449486514
8,0,1.3322676295501878e-15
8,1,-0.23629798901953958
8,2,0.09372895534010195
8,3,0.20510904916616668
8,4,-0.7917825684113577
8,5,-2.1998905269823252
8,6,-0.6722193452539795
8,7,-0.47502947350394753
8,8,-0.2386265929086686
8,9,0.6904430962289108
8,10,-0.44455935304649774
8,11,1.1183499301389497
8,12,-0.44251882506009976
8,13,-1.3298946251245127
8,14,-2.608574986583779
8,15,-1.5544825106769855
8,16,-2.0465565591093537
8,17,-0.8721681346340766
8,18,-0.27292564322044854
8,19,-1.6819114379981468
8,20,-1.2204155055638222
8,21,-1.978323489296648
8,22,-2.0058944694537093
8,23,-3.498494843245821
8,24,-2.049623263487222
8,25,-2.71190601171259
8,26,-1.461433759733855
8,27,-0.25472068578541784
8,28,-0.37600537278569246
8,29,-0.7159369103195435
8,30,-0.8105244034256727
8,31,-0.019464455908424716
8,32,-1.34187804494865
9,-32,0.2414804789133939
9,-31,-0.07957583698493056
9,-30,-0.18615907580606278
9,-29,0.7962801497299752
9,-28,2.210870337320555
9,-27,0.6905940888717017
9,-26,0.4781418603715808
9,-25,0.24639716297283715
9,-24,-0.6787826297856692
9,-23,0.4432557885390467
9,-22,-1.1164666355696606
9,-21,0.44792388587305987
9,-20,1.3439911235764743
9,-19,2.614292749792977
9,-18,1.5639514984568592
9,-17,2.0479336689010754
9,-16,0.8624456333054555
9,-15,0.2560936424470174
9,-14,1.6715626399159071
9,-13,1.2275827671999737
9,-12,1.988465005878843
9,-11,2.0209869617192022
9,-10,3.5201632811750465
9,-9,2.060523752870242
9,-8,2.721323095745208
9,-7,1.4726867480034773
9,-6,0.26955561609030054
9,-5,0.3958952234189682
9,-4,0.7240439315599261
9,-3,0.8276500247935337
9,-2,0.04063305023396879
9,-1,1.3567698422103915
9,0,1.9984014443252818e-15
9,1,-0.24148047891339175
9,2,0.07957583698493331
9,3,0.18615907580606605
9,4,-0.7962801497299727
9,5,-2.210870337320553
9,6,-0.6905940888716997
9,7,-0.4781418603715779
9,8,-0.24639716297283387
9,9,0.6787826297856714
9,10,-0.44325578853904446
9,11,1.1164666355696633
9,12,-0.44792388587305765
9,13,-1.3439911235764725
9,14,-2.6142927497929747
9,15,-1.5639514984568565
9,16,-2.047933668901072
9,17,-0.8624456333054527
9,18,-0.2560936424470146
9,19,-1.6715626399159045
9,20,-1.227582767199971
9,21,-1.9884650058788402
9,22,-2.020986961719199
9,23,-3.5201632811750434
9,24,-2.060523752870239
9,25,-2.721323095745205
9,26,-1.4726867480034742
9,27,-0.26955561609029743
9,28,-0.395895223418965
9,29,-0.7240439315599229
9,30,-0.8276500247935304
9,31,-0.04063305023396557
9,32,-1.3567698422103895
10,-32,0.2311995688815055
10,-31,-0.0985900764343412
10,-30,-0.19586056107973912
10,-29,0.799235161753168
10,-28,2.1999777100049123
10,-27,0.6846736016204678
10,-26,0.47190871595461226
10,-25,0.2171282004952762
10,-24,-0.7012522633709939
10,-23,0.43387127870769415
10,-22,-1.1210001211839216
10,-21,0.4375828217688018
10,-20,1.323582475775364
10,-19,2.607424454262909
10,-18,1.5344872323871561
10,-17,2.0295954336744297
10,-16,0.8501074744993575
10,-15,0.251533743918248
10,-14,1.661075710896216
10,-13,1.2088524219849752
10,-12,1.9817108876495033
10,-11,2.023972707346973
10,-10,3.5175509611197504
10,-9,2.0630697523407573
10,-8,2.7134637695302914
10,-7,1.4706336071359114
10,-6,0.25851716080149534
10,-5,0.37208137518552936
10,-4,0.71087764188392
10,-3,0.8012712233589884
10,-2,0.021477793892949903
10,-1,1.3512956707930779
10,0,-1.5543122344752192e-15
10,1,-0.2311995688815074
10,2,0.09859007643433837
10,3,0.19586056107973682
10,4,-0.7992351617531704
10,5,-2.1999777100049145
10,6,-0.6846736016204696
10,7,-0.47190871595461437
10,8,-0.2171282004952786
10,9,0.7012522633709921
10,10,-0.43387127870769626
10,11,1.1210001211839196
10,12,-0.4375828217688039
10,13,-1.3235824757753663
10,14,-2.6074244542629104
10,15,-1.5344872323871575
10,16,-2.029595433674432
10,17,-0.8501074744993597
10,18,-0.2515337439182501
10,19,-1.6610757108962182
10,20,-1.2088524219849772
10,21,-1.9817108876495053
10,22,-2.0239727073469758
10,23,-3.5175509611197535
10,24,-2.0630697523407595
10,25,-2.713463769530294
10,26,-1.4706336071359143
10,27,-0.258517160801498
10,28,-0.3720813751855322
10,29,-0.7108776418839228
10,30,-0.8012712233589911
10,31,-0.02147779389295268
10,32,-1.3512956707930794
11,-32,0.24762091215322268
11,-31,-0.07599636432357737
11,-30,-0.18986338823846452
11,-29,0.7878246640696068
11,-28,2.201004887295044
11,-27,0.6900049304465272
11,-26,0.49246710273176497
11,-25,0.25516614038431473
11,-24,-0.6558973369356921
11,-23,0.48254979428487277
11,-22,-1.0861820597440426
11,-21,0.4787654908535848
11,-20,1.3666965225048124
11,-19,2.636812654669982
11,-18,1.5818226873733086
11,-17,2.063919745397654
11,-16,0.875496315448894
11,-15,0.2556630036062818
11,-14,1.6679949051422853
11,-13,1.2255479564954617
11,-12,1.983941599056742
11,-11,2.008983141275972
11,-10,3.5051879063611575
11,-9,2.05191984669304
11,-8,2.714514361624217
11,-7,1.4656764464305896
11,-6,0.2614482075928548
11,-5,0.3803226117564232
11,-4,0.7121358719864351
11,-3,0.8048456012402447
11,-2,0.01037395608816516
11,-1,1.3431368049718508
11,0,-1.1102230246251565e-15
11,1,-0.24762091215322402
11,2,0.07599636432357681
11,3,0.1898633882384646
11,4,-0.7878246640696073
11,5,-2.2010048872950447
11,6,-0.6900049304465282
11,7,-0.49246710273176575
11,8,-0.25516614038431507
11,9,0.6558973369356906
11,10,-0.482549794284874
11,11,1.086182059744042
11,12,-0.47876549085358566
11,13,-1.3666965225048133
11,14,-2.636812654669983
11,15,-1.5818226873733097
11,16,-2.063919745397655
11,17,-0.8754963154488951
11,18,-0.25566300360628236
11,19,-1.6679949051422858
11,20,-1.2255479564954623
