Subcarrier,Lag,Cross-Correlation
7,-11,0.30599816754630965
7,-10,-0.23393115969080877
7,-9,-0.3064274094557717
7,-8,-0.05753136154164483
7,-7,-0.2190843937691397
7,-6,0.1490017586812156
7,-5,0.32119666936516855
7,-4,-0.07251242667534963
7,-3,-0.11278695073038243
7,-2,-0.05456326170822836
7,-1,-0.1547673431884744
7,0,0.263025436281458
7,1,0.368475480590389
7,2,0.24175399543601495
7,3,-0.02451322588839097
7,4,-0.18879212321296776
7,5,-0.41529290235823274
7,6,0.14687280679653938
7,7,0.21637049751996046
7,8,-0.012823357316606722
7,9,-0.03204212002747352
7,10,-0.20900781108437974
7,11,-0.17144990255200948
7,12,-0.16518175254807713
7,13,0.10317108682102172
7,14,0.13290053897478568
7,15,0.18513415968697125
7,16,-0.00429790301044632
7,17,-0.06575740436236636
7,18,-0.004065692525727814
8,-18,0.01122480296889313
8,-17,-0.030313640596908664
8,-16,-0.0042230445571758935
8,-15,0.01882212205205678
8,-14,0.01362754331327019
8,-13,0.0032427495321782343
8,-12,0.06356953051582753
8,-11,0.2965331378765693
8,-10,-0.2241227382092533
8,-9,-0.315602875226392
8,-8,-0.060685796102443644
8,-7,-0.22229535651605803
8,-6,0.14652497572544831
8,-5,0.2869840620424863
8,-4,-0.08381852706364243
8,-3,0.0017777775291291274
8,-2,-0.0809193048930774
8,-1,-0.1568764882139201
8,0,0.24162776021422777
8,1,0.36031480670380195
8,2,0.23687984759173758
8,3,-0.010530962741402113
8,4,-0.15514978596250698
8,5,-0.40439412137261044
8,6,0.14256479139164574
8,7,0.14065028644294233
8,8,-0.006654191350203782
8,9,-0.030787062676771185
8,10,-0.20077241231976095
8,11,-0.16846303168528157
8,12,-0.162808656622262
8,13,0.10005079682395972
8,14,0.13273306911672472
8,15,0.18476403935825644
8,16,0.0012292954351918615
8,17,-0.06091944108740272
8,18,-0.003783957437273699
9,-18,0.01202284212587614
9,-17,-0.03158860929978916
9,-16,-0.0044285832265116
9,-15,0.01782742997838284
9,-14,0.013072645442753076
9,-13,-0.0006112251248128725
9,-12,0.06265276530657596
9,-11,0.30913335360775585
9,-10,-0.23521358323355668
9,-9,-0.3068367921332675
9,-8,-0.05650779450825015
9,-7,-0.21584034154654644
9,-6,0.15103621082722107
9,-5,0.3328080463983486
9,-4,-0.06861048647719202
9,-3,-0.1253835592694343
9,-2,-0.08654598798046285
9,-1,-0.14894529475684418
9,0,0.2708509558793447
9,1,0.37761295867286976
9,2,0.2506484621711326
9,3,-0.03029843540696886
9,4,-0.20075959969883095
9,5,-0.43038375467578766
9,6,0.15154277631145074
9,7,0.22723663004815228
9,8,0.008557593635218488
9,9,-0.0325186955587862
9,10,-0.21215356940150532
9,11,-0.1758311830760293
9,12,-0.16826626731438857
9,13,0.1041359696009785
9,14,0.13439147549704442
9,15,0.18467240520675007
9,16,-0.0063940436737302524
9,17,-0.06695216615614899
9,18,-0.004132548191011349
10,-18,0.010973253578880033
10,-17,-0.029497157835595922
10,-16,-0.004276079829443088
10,-15,0.018122249711325273
10,-14,0.012950149089538832
10,-13,0.0034773177758438264
10,-12,0.062462337414124915
10,-11,0.28924435713797664
10,-10,-0.22083229763535245
10,-9,-0.29428372771150024
10,-8,-0.06612236927861034
10,-7,-0.22287795444697406
10,-6,0.1369867054182218
10,-5,0.3075118036771954
10,-4,-0.0955130443699223
10,-3,-0.0935378726928738
10,-2,0.0229442752122409
10,-1,-0.15604332797949205
10,0,0.23874340861313775
10,1,0.3460066922446046
10,2,0.23396300246081284
10,3,-0.02047844624254798
10,4,-0.16961552424133014
10,5,-0.3814097658534104
10,6,0.14321336473299284
10,7,0.1933969165034315
10,8,-0.05723434231335028
10,9,-0.03320596005761114
10,10,-0.20096313497203783
10,11,-0.16666692908301545
10,12,-0.1618654898688635
10,13,0.09886046464466132
10,14,0.13203374941327162
10,15,0.1840546019279707
10,16,0.0020355321224662663
10,17,-0.05889640882090029
10,18,-0.003660348445865537
11,-18,0.011663692984112068
11,-17,-0.030766573652690386
11,-16,-0.004363661332648161
11,-15,0.01832346794520709
11,-14,0.011432952828198426
11,-13,0.0004443451165434491
11,-12,0.06197663572039654
11,-11,0.30069173175029223
11,-10,-0.23119297308569373
11,-9,-0.3039467494649896
11,-8,-0.04395426653649119
11,-7,-0.22739929690651128
11,-6,0.14319781196636996
11,-5,0.3303153697914829
11,-4,-0.06658709382658257
11,-3,-0.09088299433351105
11,-2,-0.0890682605397653
11,-1,-0.14546179102161355
11,0,0.262510417633732
11,1,0.3675676158973718
11,2,0.2476777557310444
11,3,-0.022593832943595727
11,4,-0.19029657306023165
11,5,-0.4360316223042099
11,6,0.1383686572087052
11,7,0.2054355982512115
11,8,0.00936718722883633
11,9,-0.029981290707102076
11,10,-0.21171810995807827
11,11,-0.17406010766893684
11,12,-0.17113784204959906
11,13,0.10284571144998436
11,14,0.13677257801936507
11,15,0.18847593256418546
11,16,0.0006096369347634105
11,17,-0.06424473123222693
11,18,-0.003989328397324616
12,-18,0.01177694066221088
12,-17,-0.030652019175416243
12,-16,-0.004895704102520072
12,-15,0.018395094268237214
12,-14,0.010443135206814967
12,-13,3.763863806609477e-05
12,-12,0.05976835829941687
12,-11,0.30245561809836835
12,-10,-0.226848234664569
12,-9,-0.3107555764266133
12,-8,-0.03424455764679446
12,-7,-0.22992143706468637
12,-6,0.1505854070465092
12,-5,0.32482414092922535
12,-4,-0.04827352718141201
12,-3,-0.06726561887038944
12,-2,-0.1635433141119509
12,-1,-0.1382206867989969
12,0,0.2708517148944911
12,1,0.3865649647706875
12,2,0.24342945178309316
12,3,-0.011405867299196144
12,4,-0.19787236250649515
12,5,-0.4660756941392645
12,6,0.13651390029361102
12,7,0.19881241994575802
12,8,0.05440198610734218
12,9,-0.028962523502059623
12,10,-0.21474370623837635
12,11,-0.1830401897129863
12,12,-0.17296969082710373
12,13,0.09981680805680118
12,14,0.1372721804779101
12,15,0.1935455939048344
12,16,-0.0001553192913876146
12,17,-0.06558043182947712
12,18,-0.004068891993682283
13,-18,0.010825607542358614
13,-17,-0.029388132634925134
13,-16,-0.003795468038065195
13,-15,0.019067186038611433
13,-14,0.011477568637190665
13,-13,0.0037016185378257473
13,-12,0.06255230778218353
13,-11,0.28377922554985735
13,-10,-0.22766758144061067
13,-9,-0.30514651456873504
13,-8,-0.03945732408480398
13,-7,-0.22929733534892674
13,-6,0.14260544977011722
